type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;The Netflix Afterparty;Unknown;David Spade,London Hughes,Fortune Feimster;United States;2021-01-02;2021;TV-MA;Stand-Up Comedy & Talk Shows, TV Comedies;Hosts David Spade, Fortune Feimster and London Hughes welcome guests from the newest and biggest Netflix titles for fun conversations, skits and more.;1;Season;1
TV Show;The Nineties;Unknown;Unknown;United States;2018-09-30;2017;TV-14;Docuseries;This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.;1;Season;1
TV Show;The Pyramid Code;Unknown;Sally Jennings;Canada;2016-02-08;2009;TV-PG;Docuseries, Science & Nature TV;How was the scientific understanding of the ancients so advanced? A team of experts answers this and other questions in this fascinating series.;1;Season;1
TV Show;The Rap Game;Unknown;Jermaine Dupri;United States;2019-09-15;2016;TV-14;Reality TV;Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.;1;Season;1
TV Show;The Real Football Factories;Unknown;Danny Dyer;United Kingdom;2017-12-29;2006;TV-MA;British TV Shows, Docuseries, International TV Shows;Examine the troubling history of football hooliganism and hear from real hooligans about their bitter rivalries and rowdiest brawls.;1;Season;1
TV Show;The Returned;Unknown;Anne Cosigny,Frédéric Pierrot,Clotilde Hesme,Céline Sallette,Samir Guesmi,Guillaume Gouix,Jean-Francois Sivadier,Alix Poisson,Jenna Thiam,Grégory Gadebois,Pierre Perrier,Yara Pilartz,Swann Nambotin,Ana Girardot,Brune Martin,Bertrand Constant,Matila Malliarakis,Constance Dollé,Laetitia de Fombelle,Simon Ehrlacher,Vincent Trouilleux,Jérôme Kircher,Guillaume Marquet,Alma Arnal,Julien Bourdel,François Briault,Gilles Chabrier,Aksel Ustun,Alain Blazquez;France;2019-02-17;2015;TV-MA;International TV Shows, TV Dramas, TV Horror;On returning home and finding they're believed to be dead, a collection of near-strangers from the same village try to find a reason for their plight.;1;Season;1
TV Show;The Road to Calvary;Unknown;Anna Chipovskaya,Yulia Snigir,Leonid Bichevin,Pavel Trubiner;Russia;2018-09-01;2017;TV-14;International TV Shows, TV Dramas;Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.;1;Season;1
TV Show;The Seventies;Unknown;Unknown;United States;2018-09-30;2015;TV-PG;Docuseries;This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.;1;Season;1
TV Show;The Story of Us with Morgan Freeman;Unknown;Morgan Freeman;United States;2019-02-01;2017;TV-14;Docuseries;Explore the forces of love, belief, power, war, peace, rebellion and freedom in this series about the ties that bind – and destroy – humanity.;1;Season;1
TV Show;The Super Mario Bros. Super Show!;Unknown;Captain Lou Albano,Danny Wells,Jeannie Elias,John Stocker,Harvey Atkin,Robert Bockstael,Cynthia Preston,Jonathan Potts,Colin Fox;United States, Canada;2016-05-22;1989;TV-Y7;Kids' TV;Mixing live action and animation, this classic series brought the beloved Super Mario Bros. video game characters to television screens everywhere.;1;Season;2
TV Show;The Traffickers;Unknown;Nelufar Hedayat;United States;2018-01-22;2016;TV-MA;Crime TV Shows, Docuseries;In this hard-hitting series, journalist Nelufar Hedayat travels the globe to expose an array of black markets, from guns and gold to human body parts.;1;Season;1
TV Show;The Twilight Zone (Original Series);Unknown;Rod Serling;United States;2017-07-01;1963;TV-14;Classic & Cult TV, TV Sci-Fi & Fantasy;Hosted by creator Rod Serling, this groundbreaking anthology series presents tales of the supernatural that are often tinged with social commentary.;4;Seasons;1
TV Show;The Underwear;Unknown;Thanabordee Jaiyen,Emika Grant Emma,Tantimedh Chisanusha,Siribanchawan Jidapa,Supanut Sudjinda;Unknown;2018-06-19;2017;TV-MA;International TV Shows, TV Dramas, Teen TV Shows;Virtual and real worlds collide as a group of teenagers who are grappling with matters of the heart cross paths in a cafe and on an anonymous website.;1;Season;0
